Volume(mm),Year,Station_Code,Data_Type,Date_x,Month,Measurer,Daily_max_vol,Day_max_vol,Rain_days,Monthly_total_vol,Annual_vol,Vol_fortnight1_x,Vol_fortnight2_x,Vol_week1_x,Vol_week2_x,Vol_week3_x,Vol_week4_x,Day01,Day02,Day03,Day04,Day05,Day06,Day07,Day08,Day09,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31,Date_y,River position (m),Monthly_total_vol ,Vol_fortnight1_y,Vol_fortnight2_y,Vf_mean,Vol_week1_y,Vol_week2_y,Vol_week3_y,Vol_week4_y,Vw_mean,Select
1311.3,1947.0,2951010.0,Raw,1947-09-01,September,Pluviometer,59.7,29.0,10.0,194.8,,54.8,140.0,8.0,46.8,62.0,78.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,0.0,0.0,0.0,0.0,15.5,0.0,0.0,10.2,4.3,3.1,15.0,0.0,0.0,29.4,0.0,0.0,0.0,0.0,18.3,59.7,0.0,,,,,,,,,,,,,
1311.3,1947.0,2951010.0,Raw,1947-08-01,August,Pluviometer,29.3,31.0,7.0,89.7,,13.7,76.0,13.7,0.0,25.2,50.8,8.0,0.0,0.0,0.0,3.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,10.4,0.0,0.0,11.1,0.0,0.0,0.0,29.3,,,,,,,,,,,,
1311.3,1947.0,2951010.0,Raw,1947-07-01,July,Pluviometer,16.6,27.0,4.0,33.4,,9.0,24.4,9.0,0.0,0.0,24.4,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,5.4,0.0,16.6,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1311.3,1947.0,2951010.0,Raw,1947-06-01,June,Pluviometer,56.1,14.0,6.0,156.9,,72.4,84.5,0.0,72.4,33.5,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,0.0,0.0,56.1,0.0,0.0,6.2,0.0,17.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,,,,,,,,,,,,,
1311.3,1947.0,2951010.0,Raw,1947-05-01,May,Pluviometer,66.3,18.0,8.0,159.7,,33.5,126.2,7.3,26.2,126.2,0.0,0.0,4.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,14.4,5.3,66.3,22.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1311.3,1947.0,2951010.0,Raw,1947-04-01,April,Pluviometer,62.3,30.0,3.0,105.6,,24.0,81.6,24.0,0.0,19.3,62.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.3,,,,,,,,,,,,,
1311.3,1947.0,2951010.0,Raw,1947-03-01,March,Pluviometer,21.0,6.0,3.0,38.3,,38.3,0.0,21.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,14.1,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1311.3,1947.0,2951010.0,Raw,1947-02-01,February,Pluviometer,16.1,26.0,9.0,84.2,,29.0,55.2,11.6,17.4,23.8,31.4,0.0,0.0,0.0,2.3,9.3,0.0,0.0,5.3,2.4,9.7,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,16.1,0.0,15.3,,,,,,,,,,,,,,,
1311.3,1947.0,2951010.0,Raw,1947-01-01,January,Pluviometer,48.3,8.0,8.0,165.4,,116.6,48.8,59.4,57.2,44.7,4.1,0.0,0.0,0.0,0.0,0.0,0.0,11.1,48.3,18.0,0.0,0.0,0.0,0.0,39.2,0.0,0.0,3.3,20.4,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,,,,,,,,,,,,
1246.2,1948.0,2951010.0,Raw,1948-12-01,December,Pluviometer,0.0,,0.0,0.0,1246.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
